flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,linkedEvents,link,P10OnsetMax,Farside,FarsideManuallyAddedByUs
2015-06-25T08:16:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2015-06-25T08:16Z,2015-06-27T00:30Z,2015-06-27T16:20Z,SPE,N09W42,12371,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,16.3,FALSE,FALSE
,,2015-09-20T18:03Z,2015-09-20T20:45Z,2015-09-21T12:00Z,SUB,S22W50,12415,,,3.17,FALSE,FALSE
2015-10-29T02:36:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2015-10-29T02:36Z,2015-10-29T10:00Z,2015-10-29T17:00Z,ESPE,S20W130,12434,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,24,TRUE,FALSE
2015-11-09T13:12:00-FLR-001,,2015-11-09T13:12Z,2015-11-10T00:20Z,2015-11-10T03:00Z,SUB,S12E41,12449,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,3.71,FALSE,FALSE
,,2015-12-28T12:45Z,2015-12-29T01:50Z,2015-12-30T15:00Z,SUB,S23W11,12473,,,3.62,FALSE,FALSE
2016-01-02T00:11:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2016-01-02T00:11Z,2016-01-02T04:50Z,2016-01-02T07:50Z,SPE,S25W82,12473,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,22,FALSE,FALSE
2017-07-14T02:09:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2017-07-14T02:09Z,2017-07-14T23:20Z,2017-07-15T11:15Z,SPE,S06W29,12665,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,22,FALSE,FALSE
2017-09-04T20:33:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2017-09-04T20:33Z,2017-09-05T19:30Z,2017-09-06T12:40Z,SPE,S11W16,12673,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,210,FALSE,FALSE
2017-09-06T12:02:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2017-09-06T12:02Z,2017-09-08T00:35Z,2017-09-09T00:05Z,SPE,S08W33,12673,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,41,FALSE,FALSE
2017-09-10T16:06:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2017-09-10T16:06Z,2017-09-11T11:45Z,2017-09-14T17:25Z,ESPE,S09W92,12673,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,1493,TRUE,FALSE
,,2021-05-28T23:13Z,2021-05-29T03:20Z,2021-05-29T05:40Z,SPE,N21W63,12824,,,15.6,FALSE,FALSE
2021-10-28T15:17:00-FLR-0001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2021-10-28T15:17Z,2021-10-29T02:50Z,2021-11-04T09:00Z,ESPE,S26W05,12887,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,28.95,FALSE,FALSE
,,2021-11-09T17:02Z,2021-11-09T21:25Z,2021-11-11T00:00Z,SUB,N16W113,12891,,,2.65,TRUE,FALSE
2022-01-20T06:01:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2022-01-20T06:01Z,2022-01-20T10:15Z,2022-01-20T10:15Z,ESPE,N08W48,12929,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,22.7,FALSE,FALSE
2022-03-28T11:29:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-03-28T11:29Z,2022-03-28T14:50Z,2022-03-29T00:00Z,ESPE,N14W04,12975,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,18.7,FALSE,FALSE
2022-03-30T17:37:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-03-30T17:37Z,2022-03-31T06:30Z,2022-03-31T08:00Z,SPE,N13W31,12975,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,10.6,FALSE,FALSE
2022-04-02T13:55:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-02T13:55Z,2022-04-02T16:00Z,2022-04-03T02:00Z,SPE,N15W61,12975,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,32.2,FALSE,FALSE
,,2022-07-09T13:48Z,2022-07-09T18:05Z,2022-07-11T12:00Z,SUB,S20W95,13047,,,4.985,TRUE,FALSE
2022-08-27T02:40:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-08-27T02:40Z,2022-08-27T12:20Z,2022-08-29T06:00Z,SPE,S28W58,13088,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,27.5,FALSE,FALSE
,,2023-02-24T20:30Z,2023-02-25T00:10Z,2023-02-25T20:30Z,SUB,N28W28,13229,,,3.539,FALSE,FALSE
2023-02-25T20:30:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-02-25T20:30Z,2023-02-26T04:40Z,2023-02-26T23:15Z,SPE,N26W43,13229,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,58.8,FALSE,FALSE
,,2023-04-21T18:12Z,2023-04-23T18:20Z,2023-04-23T18:40Z,SUB,S22W11,13283,,,2.62,FALSE,FALSE
2023-05-07T23:23:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-05-07T23:23Z,2023-05-09T01:50Z,2023-05-09T12:35Z,SPE,N15W05,13296,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,38,FALSE,FALSE
2023-05-09T18:58:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-05-09T18:58Z,2023-05-10T12:50Z,2023-05-11T04:05Z,SPE,N13W31,13296,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,83,FALSE,FALSE
,,2023-05-16T17:35Z,2023-05-17T07:45Z,2023-05-19T00:00Z,SUB,N15W126,13296,,,0.8,TRUE,FALSE
,,2023-07-10T04:12Z,2023-07-10T17:10Z,2023-07-11T12:00Z,SUB,S13W49,13366,,,1.19,FALSE,FALSE
,,2023-07-15T20:01Z,2023-07-16T01:35Z,2023-07-16T05:40Z,SUB,S22W45,13363,,,1.9,FALSE,FALSE
2023-07-18T00:06:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-07-18T00:06Z ,2023-07-18T06:15Z ,2023-07-20T06:10Z ,SPE,S22W77,13363,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,620,FALSE,FALSE
2023-07-28T15:40:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-07-28T15:40Z ,2023-07-29T09:20Z ,2023-07-30T16:20Z ,SPE,N19W104,13376,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,154,TRUE,FALSE
2023-08-05T07:18:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-08-05T07:18Z ,2023-08-05T17:45Z ,2023-08-05T23:00Z ,SPE,N10W43,13386,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,18.5,FALSE,FALSE
2023-08-05T22:21:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-08-05T22:21Z ,2023-08-06T01:40Z ,2023-08-06T04:55Z,SPE,N11W77,13386,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,17.7,FALSE,FALSE
2023-08-07T08:46:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-08-07T20:46Z ,2023-08-09T00:25Z ,2023-08-10T09:50Z,SPE,N11W101,13386,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,47.7,TRUE,FALSE
2023-09-01T02:54:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-09-01T02:54Z ,2023-09-01T06:10Z ,2023-09-02T00:00Z,SPE,N14W73,13413,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,25.8,FALSE,FALSE
,,2023-12-14T17:02Z,2023-12-15T08:20Z,2023-12-15T15:30Z,SUB,N04W51,13514,,,1.827,FALSE,FALSE
,,2023-12-15T07:34Z,2023-12-16T00:15Z,2023-12-16T00:55Z,SPE,N05W60,13514,,,13.935,FALSE,FALSE
,,2023-12-31T21:55Z,2024-01-04T08:35Z,2024-01-04T22:15Z,SPE,N04E73,13536,,,20,FALSE,FALSE
,,2024-01-29T04:38Z,2024-01-29T18:05Z,2024-01-30T04:25Z,SPE,N25W70,13559,,,137,FALSE,FALSE
,,2024-02-09T13:14Z,2024-02-09T23:55Z,2024-02-11T18:05Z,SPE,S37W104,13575,,,187,TRUE,FALSE
,,2024-02-12T06:36Z,2024-02-13T06:30Z,2024-02-14T08:50Z,ESPE,S37W150,13575,,,116,TRUE,FALSE
,,2024-02-14T04:09Z,2024-02-14T10:30Z,2024-02-14T20:00Z,SPE,S37W170,13575,,,47.7,TRUE,FALSE
